frame,chest_y,shoulder_width,timestamp
0,0.48577,0.18393,0.257
1,0.48356,0.18429,0.311
2,0.48124,0.18239,0.35
3,0.48189,0.18276,0.39
4,0.47553,0.18304,0.43
5,0.47899,0.18098,0.47
6,0.48006,0.18287,0.508
7,0.47989,0.18344,0.547
8,0.47846,0.17897,0.57
9,0.47811,0.18003,0.618
10,0.48123,0.18249,0.663
11,0.47988,0.18333,0.703
12,0.48071,0.18252,0.744
13,0.47923,0.18293,0.784
14,0.48065,0.1795,0.825
15,0.4807,0.18026,0.862
16,0.48123,0.18242,0.901
17,0.48343,0.18492,0.94
18,0.47669,0.18102,0.979
19,0.48046,0.1811,1.019
20,0.48157,0.18383,1.059
21,0.48344,0.18495,1.098
22,0.47911,0.18204,1.138
23,0.47364,0.17842,1.178
24,0.48412,0.1864,1.218
25,0.47764,0.18373,1.256
26,0.47713,0.182,1.295
27,0.4805,0.18433,1.336
28,0.48019,0.18234,1.375
29,0.47837,0.18075,1.414
30,0.4759,0.18042,1.454
31,0.47665,0.18169,1.493
32,0.48531,0.18437,1.532
33,0.48291,0.18319,1.572
34,0.48085,0.18159,1.612
35,0.48408,0.18511,1.652
36,0.48136,0.18235,1.675
37,0.48034,0.18252,1.731
38,0.48259,0.18461,1.769
39,0.48229,0.18613,1.809
40,0.47914,0.18185,1.847
41,0.47793,0.18147,1.886
42,0.48322,0.18429,1.925
43,0.48169,0.18483,1.964
44,0.4817,0.18444,2.003
45,0.48218,0.18338,2.045
46,0.47748,0.18012,2.084
